admin.latency_ms	{value} ms
dispatch_board.bulk_selected_count	{n} trips selected
dispatch_board.confirm_cancel_body	Are you sure you want to cancel trip {trip_id}?
dispatch_board.conflict_body	The following conflicts were detected:
dispatch_board.count_trips	{} trips
dispatch_board.detail_departure	Departure
dispatch_board.detail_eta	ETA
dispatch_board.detail_no_alerts	No alerts for this trip
dispatch_board.driver_hours_exceeded	Weekly hours exceeded ({hours:.1f}h/{max_h}h)
dispatch_board.driver_hours_weekly	{hours:.1f}h/{max_h}h
dispatch_board.export_csv	CSV
dispatch_board.export_pdf	PDF
dispatch_board.live	LIVE
dispatch_board.no_results_subtitle	Try adjusting your search or filter criteria
dispatch_board.pair_suggestion	Suggested pair: {driver} ↔ {truck}
dispatch_board.redo_success	Redone: {trip_id} {old_status} → {new_status}
dispatch_board.resource_eta	ETA
dispatch_board.resource_maintenance_due	Maint. Due
dispatch_board.resource_no_drivers	No active drivers
dispatch_board.resource_no_trucks	No active trucks
dispatch_board.resource_status_blocked	Blocked
dispatch_board.resource_status_returning	Returning
dispatch_board.showing_trips	Showing {} of {} trips
dispatch_board.timeline_no_data	No scheduled trips to display
dispatch_board.timeline_no_data_hint	No trips scheduled for the selected period
dispatch_board.timeline_now	NOW
dispatch_board.undo_success	Undone: {trip_id} {new_status} → {old_status}
docs.cat_proformas	Proformas
docs.contract	Create Contract
docs.contract_type	Contract type:
docs.email_sent	Email sent successfully.
docs.filter_entity	Entity type:
docs.link_to_trip	Link to trip…
docs.link_to_trip_exists	Already linked.
docs.linked_to	Linked to:
docs.next	>
docs.ocr_not_run	OCR has not been run on this document yet.
docs.ocr_section	OCR
docs.pick_trip_empty	No trips match your filter.
docs.pick_trip_title	Pick a trip
docs.prev	<
docs.rerun_ocr	Re-run OCR
docs.rerun_ocr_done	OCR complete
docs.rerun_ocr_started	OCR started…
docs.set_expiry	Set
docs.tab_proforma	Proforma
docs.title	DOCUMENT CENTER
docs.upload	UPLOAD
docs.versions_label	Versions:
driver_manager.col_id	ID
edit_trip.error_title	Error
email_logs.col_id	ID
features.dashboards_desc	Build personalized views with KPIs, charts, and real-time data.
features.driver_performance_desc	Monitor driver efficiency, safety scores, tachograph compliance, and driving hours.
features.driver_profiles_desc	Complete driver database with licenses, medical certificates, contracts, and documents.
features.geofencing_desc	Set geographic boundaries and receive instant notifications when vehicles enter or leave zones.
features.gps_tracking_desc	Monitor every vehicle's location, speed, and status on an interactive map.
features.kpi_desc	Monitor key performance indicators including profit per mile, fuel efficiency, and driver performance.
features.multi_stop_desc	Plan complex multi-stop routes with up to 50 waypoints and automated sequencing.
features.ocr_ai_desc	Scan and digitize invoices, CMRs, receipts, and contracts with AI-powered OCR.
features.ocr_ai_title	AI-Powered OCR
features.page_header_desc	Everything you need to run your fleet efficiently, from route planning to analytics.
features.page_title	Features - Operion ERP
features.pod_desc	Capture signatures, photos, and timestamps at delivery for complete proof of delivery.
features.pod_title	Digital Proof of Delivery
features.schedule_desc	Plan driver shifts, manage availability, and track working hours.
features.status_updates_desc	Track every job from assignment to completion with live status updates.
fleet.alert_format	[{type}] {msg}
fleet.expense_default_category	General
fleet.expenses_table_id	ID
fleet.maintenance_table_id	ID
fleet.maintenance_table_km	KM
fleet.table_consumption	L/100km
fleet.table_id	ID
fleet.table_km	KM
fleet.table_vin	VIN
fleet.unit_km	km
generators.cmr_options	2. Optional Overrides:
generators.cmr_subtitle	Create an international CMR waybill for a selected trip.
generators.subtitle	Create invoices and international CMR waybills for your trips.
generators.tab_cmr	CMR
history.button_excel	Excel
history.button_pdf	PDF
history.col_brut_km	€/km
history.col_id	ID
history.error	Error
history.error_title	Error
history.inv_prefix	INV-
history.table_gross_per_km	Bruto/km
history.table_id	ID
history.table_km	KM
home.benefit_cost_desc	Cut fuel consumption by up to 20%% with optimized routing, reduce idle time, and minimize maintenance costs.
home.benefit_paperwork_desc	Digitize all documents with OCR, automate invoicing, and go fully paperless.
home.benefit_paperwork_title	Eliminate Paperwork
home.benefit_scale_title	Scale With Confidence
home.benefit_speed_desc	Complete more deliveries per day with intelligent route optimization and real-time traffic avoidance.
home.cta_see_how	See How It Works
home.cta_talk_sales	Talk to Sales
home.feature_analytics_desc	Gain actionable insights with dashboards, KPIs, and customizable reports.
home.feature_ocr_desc	Scan and digitize invoices, CMRs, and receipts with AI-powered OCR.
home.feature_route_planning_desc	Optimize routes in seconds with advanced algorithms that consider distance, traffic, fuel costs, and delivery windows.
home.feature_tracking_desc	Monitor every vehicle in your fleet with live GPS tracking, geofencing, and instant alerts.
home.hero_description	Operion ERP gives your fleet the power to plan smarter, dispatch faster, and grow bigger.
home.more	more
home.section_benefits	Built for real logistics results
home.section_benefits_desc	Every feature is designed to solve a real problem our customers faced.
home.section_cta_desc	Join hundreds of companies that trust Operion to run their fleet operations.
home.section_features	Everything you need to run your fleet
home.section_features_desc	Powerful tools that work together to streamline every aspect of your logistics operations.
home.section_mission_desc	Our mission is to make enterprise logistics software accessible, powerful, and easy to use.
home.section_testimonials	Trusted by logistics leaders
home.section_testimonials_desc	See how Operion is helping companies transform their logistics operations.
home.testimonial_1	Operion transformed our operations. We cut route planning time by 80%% and fuel costs by 15%% in the first quarter.
home.testimonial_1_author	Mihai Popescu
home.testimonial_2	Having real-time visibility into our fleet has been a game-changer. Our customers love the accurate ETAs.
home.testimonial_2_author	Sarah Müller
home.testimonial_3	We scaled from 10 to 50 vehicles without adding a single dispatcher. Operion's automation is incredible.
home.testimonial_3_author	John Smith
invoice_editor.add_row	Add Row
invoice_editor.auto_fill	Auto-Fill
invoice_editor.branding	Branding
invoice_editor.company_color	Color
invoice_editor.discount	Discount
invoice_editor.discount_fixed	Fixed
invoice_editor.discount_percentage	Percentage
invoice_editor.draft_loaded_msg	Draft '{}' loaded successfully.
invoice_editor.draft_name	Enter a name for this draft:
invoice_editor.draft_saved_msg	Draft '{}' saved successfully.
invoice_editor.due_on_receipt	Due on Receipt
invoice_editor.duplicate_row	Duplicate
invoice_editor.enter_email	Enter recipient email address:
invoice_editor.logo	Logo
invoice_editor.move_down	Move Down
invoice_editor.move_up	Move Up
invoice_editor.pick_color	Pick
invoice_editor.pick_color_title	Choose Company Color
invoice_editor.quantity	Qty
invoice_editor.subtitle	Create and edit professional invoices
invoice_editor.subtotal	Subtotal
invoice_editor.tax	Tax
invoice_editor.tax_preset	Tax Preset
invoice_editor.tax_rate_short	Tax%
invoice_editor.total	Total
invoice_editor.totals	Totals
invoice_pdf.default_cui	RO12345678
invoice_pdf.default_phone	07xx xxx xxx
invoice_pdf.default_reg	J40/123/2023
invoice_pdf.total_header	Total (EUR)
main.error_title	Error
main.module_not_migrated	{module}\n(Module not yet migrated)
maint.action_maint	Action Maint
maint.action_remind	Action Remind
maint.action_resolve	Action Resolve
maint.col_km	Col Km
maint.error_generic	Error Generic
maint.excellent	Excellent
maint.fair	Fair
maint.flash_maint_scheduled	Flash Maint Scheduled
maint.form_attachment	Attachment:
maint.health_downtime	Downtime
maint.status_remaining	{km} km remaining
maint_analytics.month_feb	Feb
maint_analytics.month_jul	Jul
maint_analytics.month_jun	Jun
maint_analytics.month_mar	Mar
maint_analytics.month_may	May
maint_analytics.month_nov	Nov
maint_analytics.month_oct	Oct
maint_analytics.month_sep	Sep
maint_timeline.km	KM
proforma_editor.add_row	Add Row
proforma_editor.autofill_empty	No extractable text in the selected document.
proforma_editor.autofill_from_doc	Auto-Fill from Doc
proforma_editor.autofill_partial	Linked document has text but no structured data. Manual entry required.
proforma_editor.branding	Branding
proforma_editor.company_color	Color
proforma_editor.discount	Discount
proforma_editor.discount_fixed	Fixed
proforma_editor.discount_percentage	Percentage
proforma_editor.draft_name	Enter a name for this draft:
proforma_editor.draft_saved_msg	Draft '{}' saved successfully.
proforma_editor.due_on_receipt	Due on Receipt
proforma_editor.email_sent	Email sent successfully.
proforma_editor.enter_email	Enter recipient email address:
proforma_editor.error	Error
proforma_editor.include_linked_docs	Include linked CMRs and invoices
proforma_editor.logo	Logo
proforma_editor.mode_internal	Internal Mode
proforma_editor.no_docs_available	No documents available to link.
proforma_editor.no_items	Please add at least one line item.
proforma_editor.pick_color	Pick
proforma_editor.pick_color_title	Choose Company Color
proforma_editor.proforma_generated	Proforma generated: {}
proforma_editor.proforma_number	Proforma #
proforma_editor.quantity	Qty
proforma_editor.subtitle	Create and manage proforma invoices
proforma_editor.subtotal	Subtotal
proforma_editor.tax	Tax
proforma_editor.total	Total
receipt.accommodation_label	Accommodation
receipt.amount_helper	Enter the payment amount
receipt.amount_placeholder	0.00
receipt.amount_words_label	Amount in Words
receipt.attach_type_cmr	CMR
receipt.attach_type_pod	POD
receipt.branch_placeholder	e.g. Bucharest HQ
receipt.department_label	Department
receipt.editor.draft_name	Draft name:
receipt.editor.draft_saved_msg	Draft "{name}" saved.
receipt.editor.duplicate	Duplicate
receipt.editor.duplicated	Receipt Duplicated
receipt.editor.duplicated_msg	Copy created with new number.
receipt.editor.email_placeholder	Email feature coming soon.
receipt.editor.error	Error
receipt.editor.no_attachments	No files attached.
receipt.editor.pdf_generated	Receipt Generated
receipt.editor.pdf_generated_msg	PDF saved to: {path}
receipt.editor.subtitle	Create professional receipts for payments, reimbursements and expenses
receipt.employee_name_label	Employee Name
receipt.issue_date_placeholder	YYYY-MM-DD
receipt.logo_label	Company Logo
receipt.meals_label	Meals
receipt.parking_label	Parking
receipt.payment_date_placeholder	YYYY-MM-DD
receipt.received_by	Received By
receipt.section_attachments	ATTACHMENTS
receipt.section_branding	BRANDING & SIGNATURES
receipt.section_employee	EMPLOYEE EXPENSES
receipt.section_financial	FINANCIAL
receipt.section_info	RECEIPT INFORMATION
receipt.section_invoice_autofill	QUICK FILL FROM INVOICE
receipt.section_logistics	LOGISTICS
receipt.section_notes	NOTES
receipt.section_parties	PARTIES
receipt.section_payment	PAYMENT DETAILS
receipt.section_purpose	PURPOSE
receipt.section_type	RECEIPT TYPE
receipt.total_label	Total
receipt.type_cash_receipt	Cash Receipt
receipt.type_deposit	Deposit
receipt.validation.amount_required	Amount is required and must be positive.
receipt.validation.date_format	{field} must be in YYYY-MM-DD format.
receipt.validation.number_required	Receipt number is required.
receipt.validation.vat_invalid	VAT rate must be between 0 and 100.
receipt.vat_amount_label	VAT Amount
receipt.vat_placeholder	e.g. 19
receipt.words_placeholder	Auto-calculated
result.generic_error	{}:\n{}
route.open_in_gmaps	Google Maps
route_history.inv_prefix	INV-
route_history.label_total	Total:
settings.field_color	Color
signature.filter_images	Image files (*.png *.jpg *.jpeg *.bmp);;All files (*.*)
tacho.result_calibration	Calibration
tacho.result_label	{label}: {value}
tacho.status_error	Error
tacho.status_ok	OK
tacho.violations_warning	Found {count} violation(s) flagged
team.email_label	EMAIL
team.error_title	Error
trip.speed_display	{speed:.0f} km/h
upload.error	Error
