Total untranslated: 1770

app.subtitle	ERP
history.subtitle	Operations management and invoicing
history.trip_title	Trip #{}
history.inv_prefix	INV-
analytics.invalid_date_format	Invalid Date Format
analytics.top_trucks_title	Top Trucks by Revenue
analytics.revenue_expenses_title	Revenue vs Expenses
analytics.driver_profit_title	Driver Profit
analytics.profit_ratio_title	Profit Margin
analytics.from_label	From
analytics.to_label	To
analytics.apply	Apply
analytics.revenue_label	Revenue
analytics.expenses_label	Expenses
analytics.profit_label	Profit
analytics.error	Chart Error
analytics.invalid_date_order	Invalid date range
analytics.subtitle	Fleet performance analytics and KPIs
analytics.tab_financial	Financial
analytics.tab_fleet	Fleet
analytics.tab_route	Routes
analytics.tab_client	Clients
analytics.tab_driver	Drivers
analytics.tab_document	Documents
analytics.financial_subtitle	Revenue, profit, margin, and cash flow trends
analytics.fleet_subtitle	Truck utilization, fuel efficiency, and maintenance alerts
analytics.route_subtitle	Route profitability and country corridor analysis
analytics.client_subtitle	Client revenue, payment behavior, and growth
analytics.driver_subtitle	Driver performance, efficiency, and compliance
analytics.document_subtitle	Document volume, trends, and expiration tracking
analytics.kpi_total_revenue	Total Revenue
analytics.kpi_total_profit	Total Profit
analytics.kpi_avg_margin	Current Margin
analytics.kpi_top_client	Top Client
analytics.kpi_active_trucks	Active Trucks
analytics.kpi_total_km	Total KM
analytics.kpi_avg_consumption	Avg Consumption
analytics.kpi_maint_alerts	Maint. Alerts
analytics.kpi_invoices	Invoices
analytics.kpi_cmrs	CMRs
analytics.kpi_total_docs	Total Docs
analytics.kpi_expiring	Expiring
analytics.months	months
analytics.fleet_profitability	Truck Profitability
analytics.fleet_fuel_efficiency	Fuel Efficiency (L/100km)
analytics.fleet_utilization	Truck Utilization (Trips)
analytics.client_revenue	Revenue by Client
analytics.client_profit	Profit by Client
analytics.client_payment_delay	Average Payment Delay (Days)
analytics.client_concentration	Revenue Concentration
analytics.last_quarter	Last quarter
analytics.client_rest	Rest
analytics.client_growth	New Clients per Month
analytics.client_insight	Insight: {client} generates {rev_pct}% of revenue but only {profit_pct}% of profit.
analytics.driver_trips	Trips Completed
analytics.driver_profit	Profit per Driver
analytics.driver_efficiency	Efficiency (Profit/km)
analytics.driver_tacho	Tacho Violations (90 days)
analytics.route_profitability	Most Profitable Routes
analytics.route_profit_per_km	Profit per KM
analytics.route_fuel_per_km	Fuel Cost per KM
analytics.route_country_profit_km	Country Profit per KM
analytics.doc_distribution	Document Distribution
analytics.doc_upload_trend	Monthly Uploads
analytics.doc_cmr_trend	CMR Generation Trend
analytics.doc_invoices	Invoices
analytics.doc_cmrs	CMRs
analytics.doc_other	Other
analytics.doc_expiring_header	{count} documents expiring within 30 days:
analytics.country_revenue	Revenue by Country
analytics.section_financial_trends	Financial Trends
analytics.section_financial_performance	Financial Performance
analytics.section_client_geographic	Client & Geographic
analytics.section_volume_cost	Volume & Cost
analytics.section_fleet_performance	Fleet Performance
analytics.section_fleet_composition	Fleet Composition
analytics.section_cost_maintenance	Cost & Maintenance
analytics.section_volume_efficiency	Volume & Efficiency
analytics.section_driver_compliance	Compliance & Safety
analytics.section_driver_distribution	Distribution & Insights
analytics.driver_distance_distribution	Trip Distance Distribution
analytics.driver_month_heatmap	Trips by Month x Driver
analytics.driver_profit_waterfall	Profit Breakdown (Top Driver)
analytics.driver_driving_rest_ratio	Driving vs Rest Hours
analytics.driver_utilization_score	Driver Utilization Score
analytics.driver_avg_profit_per_trip	Avg Profit per Trip
analytics.total_costs	Total costs
analytics.kpi_top_route	Top Route
analytics.kpi_avg_profit_km	Avg Profit/km
analytics.kpi_total_routes	Total Routes
analytics.kpi_top_country	Top Country
analytics.route_performance	Route Performance
analytics.geographic_analysis	Geographic Analysis
analytics.correlation_distribution	Correlation & Distribution
analytics.volume_trends	Volume & Trends
analytics.top_countries_volume	Top Countries by Volume
analytics.top_countries_profit	Top Countries by Profit
analytics.cost_breakdown_route	Cost Breakdown
analytics.distance_km	Distance (km)
analytics.net_profit	Net Profit (€)
analytics.distance_distribution	Distance Distribution
analytics.route_length_trend	Route Length Trend
analytics.avg_profit_trend	Net Profit Trend
analytics.route_count_month	Monthly Trip Volume
analytics.trucks	Trucks
analytics.active	Active
analytics.idle	Idle
analytics.extra	Other
analytics.section_client_performance	Client Performance
analytics.section_client_composition	Client Composition
analytics.section_client_trends	Client Trends
analytics.section_client_insights	Client Insights
analytics.section_document_overview	Document Overview
analytics.section_document_breakdown	Document Breakdown
analytics.section_expiry_aging	Expiry & Aging
analytics.section_growth_trends	Growth & Trends
analytics.doc_type_breakdown	Document Type Breakdown
analytics.category_distribution	Category Distribution
analytics.upload_by_quarter	Upload by Quarter
analytics.expiry_timeline	Expiry Timeline
analytics.document_aging	Document Aging
analytics.expiring_by_type	Expiring by Type
analytics.document_growth	Document Growth
analytics.volume_vs_revenue	Volume vs Revenue
analytics.total_documents_trend	Total Documents Trend
analytics.client_revenue_per_client	Revenue per Client Trend
analytics.trip_count_trend	Trip Count Trend
analytics.profit_margin_per_client	Profit Margin per Client
analytics.revenue_vs_profit	Revenue vs Profit
analytics.active_clients_trend	Active Clients Trend
analytics.kpi_total_clients	Total Clients
analytics.kpi_avg_payment_delay	Avg Payment Delay
analytics.kpi_revenue_concentration	Concentration
analytics.client_payment_delay_full	Average Payment Delay (Days)
analytics.section_route_performance	Route Performance
analytics.safety_score	Safety Score
analytics.active_vs_inactive	Active vs Inactive
analytics.distance_label	Distance (km)
analytics.net_profit_label	Net Profit (€)
analytics.waterfall_revenue	Revenue
analytics.waterfall_fuel	Fuel
analytics.waterfall_toll	Toll
analytics.waterfall_salary	Salary
analytics.waterfall_other	Other
analytics.waterfall_net	Net
analytics.group_total	Total
analytics.group_relevant	Relevant
analytics.group_top3	Top 3
analytics.group_others	Others
analytics.group_clients	Clients
analytics.group_trips	Trips
analytics.period_label	Period
analytics.period_30d	Last 30 days
analytics.period_90d	Last 90 days
analytics.period_6m	Last 6 months
analytics.period_1y	Last year
analytics.period_all	All time
analytics.daily_activity	Daily Activity
analytics.truck_year	Year
analytics.client_retention	Client Retention
analytics.cost_breakdown	Cost Breakdown
analytics.cost_per_truck	Cost Per Truck
analytics.country_corridors	Country Corridors
analytics.driver_distance	Driver Distance
analytics.driver_driving_hours	Driver Driving Hours
analytics.driver_ranking	Driver Ranking
analytics.driver_rest_hours	Driver Rest Hours
analytics.efficiency_trend	Efficiency Trend
analytics.extra_costs	Extra Costs
analytics.fuel	Fuel
analytics.fuel_cost_trend	Fuel Cost Trend
analytics.fuel_efficiency_trend	Fuel Efficiency Trend
analytics.idle_vs_active	Idle Vs Active
analytics.inactive	Inactive
analytics.invoiced	Invoiced
analytics.invoiced_vs_paid	Invoiced Vs Paid
analytics.kpi_avg_trips	Kpi Avg Trips
analytics.kpi_top_driver	Kpi Top Driver
analytics.kpi_total_drivers	Kpi Total Drivers
analytics.kpi_total_violations	Kpi Total Violations
analytics.maintenance_cost	Maintenance Cost
analytics.mileage_ranking	Mileage Ranking
analytics.monthly_trip_volume	Monthly Trip Volume
analytics.paid	Paid
analytics.profit_vs_distance	Profit Vs Distance
analytics.quarterly_revenue	Quarterly Revenue
analytics.revenue_per_client_trend	Revenue Per Client Trend
analytics.revenue_vs_profit_scatter	Revenue Vs Profit Scatter
analytics.salary	Salary
analytics.section_driver_metrics	Section Driver Metrics
analytics.section_driver_performance	Section Driver Performance
analytics.section_volume_safety	Section Volume Safety
analytics.toll	Toll
analytics.total_distance	Total Distance
analytics.trip_status_distribution	Trip Status Distribution
analytics.truck_age_distribution	Truck Age Distribution
analytics.aging_31_60	31-60 days
analytics.aging_61_90	61-90 days
analytics.aging_current	Current (0-30d)
analytics.aging_overdue	90+ days
analytics.all_countries	All Countries
analytics.col_driver	Driver
analytics.col_profit_km	Profit/KM
analytics.col_route	Route
analytics.col_trips	Trips
analytics.doc_actual_uploads	Actual Uploads
analytics.doc_expected_uploads	Expected (Trips)
analytics.doc_no_expiring	No documents expiring within 30 days
analytics.doc_see_all	See all ({count})
analytics.doc_upload_vs_expected	Document Uploads vs Expected
analytics.driver_unassigned_note	{count} trips without assigned driver (excluded)
analytics.insufficient_route_data	Insufficient data for chart — add more trips
analytics.invoice_aging	Outstanding Invoices by Age
analytics.kpi_active_drivers	Active Drivers
analytics.kpi_avg_profit_per_driver	Avg Profit/Driver
analytics.kpi_avg_route_profit	Avg Profit/Route
analytics.kpi_avg_trips_per_driver	Avg Trips/Driver
analytics.kpi_cost_per_km	Avg Cost/km
analytics.kpi_dso_subtitle	Avg collection period
analytics.kpi_dso	DSO (Days)
analytics.kpi_most_frequent	Most Frequent
analytics.kpi_new_clients	New Clients
analytics.kpi_top_client_rev	Top Client
analytics.kpi_top_country_route	Top Country
analytics.kpi_unassigned_trips	Unassigned Trips
analytics.kpi_unique_routes	Unique Routes
analytics.no_driver_data	No assigned driver data for this period.
analytics.outstanding	Outstanding
analytics.payment_target	Target 30d
analytics.refresh_tooltip	Refresh data
analytics.revenue_profit_trend	Revenue vs Profit Trend
analytics.route_country_treemap	Revenue by Country
analytics.route_frequency	Route Frequency
analytics.section_driver_activity	Driver Activity Timeline
analytics.section_invoice_aging	Invoice Aging
analytics.section_payment_timeline	Payment Behavior
analytics.section_revenue_trend	Revenue & Profit Trend
analytics.no_data	No revenue data yet
analytics.doc_expires	Expires
invoice.button_email	Button Email
invoice.default_client	Default Client
invoice.email_body	Email Body
invoice.email_failed	Email Failed
invoice.email_subject	Email Subject
invoice.email_success	Email Success
invoice.smtp_not_configured	Smtp Not Configured
invoice.trip_list_format	#{id} {truck_number} — {client_name} [{created_at}]
invoice.field_{key}	Field {Key}
settings.section_email	EMAIL & SMTP
settings.section_maintenance	MAINTENANCE THRESHOLDS
settings.save	Save
settings.reset	Reset
settings.subtitle	Application Settings
settings.field_smtp_server	SMTP Server:
settings.field_smtp_port	SMTP Port:
settings.field_smtp_user	SMTP User:
settings.field_smtp_password	SMTP Password:
settings.field_alert_recipients	Alert Email Recipients:
settings.field_alert_days_ahead	Alert Days Ahead:
settings.field_tacho_warning	Tacho Warning Days:
settings.field_tacho_critical	Tacho Critical Days:
settings.test_connection	Test Connection
settings.email_logs	Email Logs
settings.test_success	Connection successful
settings.test_failed	Test failed: {}
settings.section_branding	BRANDING
settings.field_logo	Company Logo:
settings.field_color	Color
settings.field_signature	Signature Image:
settings.field_stamp	Stamp Image:
settings.theme_dark	Dark
settings.theme_light	Light
settings.field_ai_vision	Field Ai Vision
settings.field_automation_body	Body template:
settings.field_email_importer	Field Email Importer
settings.field_folder_watcher	Field Folder Watcher
settings.field_ocr_config	PaddleOCR advanced settings:
settings.field_ocr_credentials	Cloud OCR credentials:
settings.field_ocr_gpu	Field Ocr Gpu
settings.field_ocr_help	Set at least one provider
settings.unit_seconds	 seconds
route.info_empty_subtitle	Calculate a route to see details.
route.add_to_dispatch	Add to Dispatch
route.send_to_calculator	Send to Calculator
route.client_name	Client Name
route.no_saved_route_id	No saved route ID
route.select_driver	Select Driver
route.start_date	Start Date
route.stop_destination	Destination
route.stop_n	Stop {n}
route.stop_start	Start
route.trip_created	Trip Created
route.profile_recommended	Recommended
route.profile_fastest	Fastest
route.profile_cheapest	Cheapest
route.profile_safest	Safest
route.profile_shortest	Shortest
route.click_to_add_stop	Click map to add stop
route.loaded_route	Route loaded
route.options_header	Route Options
route.page_subtitle	Plan multi-stop routes with cost estimation
route.page_title	Route Planner
route.section.smart_route	SMART ROUTE
route.section.options	OPTIONS
route.section.excluded_countries	EXCLUDED COUNTRIES
route.section.result	ROUTE RESULT
route.add_country	Add Country
route.share_title	Share Route
route.share_subtitle	Share this route with others so they can load it in Operion.
route.share_link_label	Share link
route.copy_link	Copy
route.export_file	Export File
route.open_in_gmaps	Google Maps
route.save_and_open	Save & Open Folder
route.link_copied	Copied!
route.clipboard_unavailable	Clipboard unavailable
route.export_success_file	Saved: {path}
route.calculate	Calculate Route
route.result.distance	Distance
route.result.duration	Duration
route_history.comparison_result	Route #{a} vs #{b}
Distance delta: {d_dist:+.1f} km
Duration delta: {d_dur}
Profiles: {p_a} / {p_b}
route_history.page_info	Page {current} of {total} ({count} routes)
route_history.stats_none	None
route_history.stats_summary	Total routes: {count}
Total distance: {dist:.1f} km
Top destinations: {dests}
route_history.recalculate	Recalculate
route_history.archive	Archive
route_history.export_json	Export JSON
route_history.export_csv	Export CSV
route_history.delete	Delete
route_history.compare	Compare
route_history.map_loading	Loading map...
route_history.search	Search...
route_history.truck_filter	Filter by truck
route_history.filter_truck	Filter by Truck
route_history.archive_confirm	Confirm Archive
route_history.archive_confirm_msg	Archive these routes?
route_history.delete_confirm	Confirm Delete
route_history.delete_confirm_msg	Delete these routes?
route_history.exported	Exported
route_history.exported_msg	Routes exported successfully.
route_history.recalculated	Recalculated
route_history.recalculated_msg	Routes recalculated successfully.
route_history.search_placeholder	Search routes...
route_history.truck_placeholder	Select truck...
route_history.page_subtitle	Review and manage saved routes
route_history.page_title	Route History
route_history.label_total	Total:
route_history.label_active	Active:
route_history.label_archived	Archived:
route_history.label_date	Date:
route_history.label_truck	Truck:
route_history.label_distance	Distance:
route_history.label_duration	Duration:
route_history.trip_title	Trip #{}
route_history.inv_prefix	INV-
result.day	day
result.hour	hour
result.minute	minute
result.routing_server_off	Routing server is off. Check that GraphHopper is running.
result.generic_error	{}:
{}
email.subject_trip	Documents for Trip #{}
email.label_trip	Trip #{}
tracking.section_title	Fleet Tracking
tracking.setup_hint	Configure fleet tracking credentials in Settings.
tracking.platform	Tracking Platform
tracking.platform_not_configured	Platform not configured
tracking.token	API Token
tracking.host	Server URL
tracking.username	Username
tracking.password	Password
tracking.btn_test	Test Connection
tracking.mapview_missing	tkintermapview not installed.
Run: pip install tkintermapview
tracking.stopped	Stopped
tracking.account	Account / Subdomain
tracking.id_field	ID Field
tracking.lat_field	Latitude Field
tracking.lng_field	Longitude Field
tracking.not_configured	Not Configured
tracking.positions_path	Positions JSON Path
email_logs.col_recipient	Recipient
email_logs.col_subject	Subject
email_logs.col_sent	Sent
email_logs.col_status	Status
email_logs.no_logs	No logs found
alerts.severity_critical	Critical
alerts.severity_warning	Warning
alerts.severity_info	Info
status.Planned	Planned
status.Loading	Loading
status.In Transit	In Transit
status.Delivered	Delivered
status.Cancelled	Cancelled
status.unknown	Unknown
status.planned	Planned
status.loading	Loading
status.in_transit	In Transit
status.delivered	Delivered
status.cancelled	Cancelled
status.invoiced	Invoiced
status.paid	Paid
status.Invoiced	Invoiced
status.Paid	Paid
status.Archived	Archived
common.search	Search...
common.confirm	Confirm
common.warning	Warning
common.error	Error
common.no_schedule	Schedule
common.no_activity	No activity recorded
common.no_revenue_data	No revenue data yet
common.ops_unavailable	Ops not available
common.no_signature	No signature
common.signature_accepted	Signature accepted
common.signature_cleared	Cleaned up
common.select_signature_image	Select Signature Image
common.open_calendar	Open calendar
common.select_date	Select date
common.show_alerts	Show alerts
common.cancel	Cancel
common.down	↓ Down
common.refresh	Refresh
common.up	↑ Up
common.truck_label	Truck
common.schedule_label	Schedule
dispatch_board.live	LIVE
dispatch_board.tabs_board	Board
dispatch_board.tabs_resources	Resources
dispatch_board.tabs_alerts	Alerts & Ops
dispatch_board.tabs_timeline	Timeline
dispatch_board.search_placeholder	Search trips...
dispatch_board.search_clear	Clear
dispatch_board.search_filter_status	Filter by status
dispatch_board.search_no_results	No matching trips
dispatch_board.resource_drivers_title	Driver Availability
dispatch_board.resource_trucks_title	Truck Availability
dispatch_board.resource_status_free	Available
dispatch_board.resource_status_returning	Returning
dispatch_board.resource_status_on_trip	On Trip
dispatch_board.resource_status_blocked	Blocked
dispatch_board.resource_no_drivers	No active drivers
dispatch_board.resource_no_trucks	No active trucks
dispatch_board.resource_license_expired	License Expired
dispatch_board.resource_medical_expired	Medical Expired
dispatch_board.resource_hours_exceeded	Hours Exceeded
dispatch_board.resource_maintenance_due	Maint. Due
dispatch_board.resource_insurance_expired	Insurance Expired
dispatch_board.resource_inspection_expired	Inspection Expired
dispatch_board.resource_in_service	In Service
dispatch_board.resource_current_trip	Trip
dispatch_board.resource_next_free	Next free
dispatch_board.alerts_panel_title	Operational Alerts
dispatch_board.alerts_panel_no_alerts	No active alerts
dispatch_board.alerts_no_alerts_hint	All alerts have been resolved
dispatch_board.alerts_panel_unassigned_title	Unassigned Trips
dispatch_board.alerts_panel_no_unassigned	All trips assigned
dispatch_board.alerts_no_unassigned_hint	All trips are fully assigned
dispatch_board.alerts_panel_no_truck	No Truck
dispatch_board.alerts_panel_no_driver	No Driver
dispatch_board.alerts_panel_neither	No Truck or Driver
dispatch_board.alerts_panel_quick_assign	Quick Assign
dispatch_board.alerts_panel_summary_title	Assignment Summary
dispatch_board.alerts_panel_total_trips	Total Active
dispatch_board.alerts_panel_fully_assigned	Fully Assigned
dispatch_board.alerts_panel_partial	Partial
dispatch_board.alerts_panel_unassigned	Unassigned
dispatch_board.alerts_panel_resolve_all	Resolve All
dispatch_board.detail_title	Trip Details
dispatch_board.detail_edit_button	Edit Trip
dispatch_board.detail_save	Save
dispatch_board.detail_cancel	Cancel
dispatch_board.detail_close	Close
dispatch_board.detail_trip_id	Trip ID
dispatch_board.detail_status	Status
dispatch_board.detail_truck	Truck
dispatch_board.detail_driver	Driver
dispatch_board.detail_client	Client
dispatch_board.detail_route	Route
dispatch_board.detail_departure	Departure
dispatch_board.detail_distance	Distance
dispatch_board.detail_price	Price
dispatch_board.detail_net_profit	Net Profit
dispatch_board.detail_currency	Currency
dispatch_board.detail_notes	Notes
dispatch_board.detail_alerts_for_trip	Alerts
dispatch_board.detail_no_alerts	No alerts for this trip
dispatch_board.conflict_detected	Resource Conflict
dispatch_board.conflict_body	The following conflicts were detected:
dispatch_board.status_bar_active	Active
dispatch_board.status_bar_drivers_free	Drivers Free
dispatch_board.status_bar_trucks_free	Trucks Free
dispatch_board.timeline_title	Schedule Timeline
dispatch_board.timeline_no_data	No scheduled trips to display
dispatch_board.timeline_no_data_hint	No trips scheduled for the selected period
dispatch_board.timeline_plan_trip	Plan a Trip
dispatch_board.timeline_now	NOW
dispatch_board.assign_both	Assign Truck + Driver
dispatch_board.assign_both_title	Quick Assign Truck & Driver
dispatch_board.assign_truck_blocked	Truck blocked: {reason}
dispatch_board.assign_driver_blocked	Driver blocked: {reason}
dispatch_board.col_cancelled	Cancelled
dispatch_board.confirm_cancel	Cancel Trip
dispatch_board.confirm_cancel_body	Are you sure you want to cancel trip {trip_id}?
dispatch_board.cancelled_title	Cancelled
dispatch_board.driver_hours_weekly	{hours:.1f}h/{max_h}h
dispatch_board.driver_hours_exceeded	Weekly hours exceeded ({hours:.1f}h/{max_h}h)
dispatch_board.brief_title	Today's Brief
dispatch_board.brief_departing_today	Departing Today
dispatch_board.brief_arriving_today	Arriving Today
dispatch_board.brief_critical	Critical
dispatch_board.brief_needs_attention	Needs Attention
dispatch_board.bulk_selected_count	{n} trips selected
dispatch_board.bulk_assign_truck	Assign Truck
dispatch_board.bulk_assign_driver	Assign Driver
dispatch_board.bulk_clear_selection	Clear
dispatch_board.bulk_success	Assigned to {count} trips
dispatch_board.bulk_partial	Assigned to {ok} trips ({failed} blocked)
dispatch_board.pair_title	Assign Truck & Driver
dispatch_board.pair_truck_label	Select Truck
dispatch_board.pair_driver_label	Select Driver
dispatch_board.pair_assign_both	Assign Both
dispatch_board.pair_assign_truck_only	Assign Truck Only
dispatch_board.pair_assign_driver_only	Assign Driver Only
dispatch_board.pair_suggestion	Suggested pair: {driver} ↔ {truck}
dispatch_board.export_success	Exported to {path}
dispatch_board.export_error	Export failed: {error}
dispatch_board.undo_success	Undone: {trip_id} {new_status} → {old_status}
dispatch_board.redo_success	Redone: {trip_id} {old_status} → {new_status}
dispatch_board.undo_nothing	Nothing to undo
dispatch_board.redo_nothing	Nothing to redo
dispatch_board.showing_trips	Showing {} of {} trips
dispatch_board.count_trips	{} trips
dispatch_board.no_results_title	No trips found
dispatch_board.no_results_subtitle	Try adjusting your search or filter criteria
driver_manager.documents_button	Documents
driver_manager.select_driver_first	Select a driver first.
driver_manager.import_csv	Import CSV
driver_manager.import_success	Drivers imported
driver_manager.driver_title	Driver {}
driver_manager.field_phone	Telefon
fuel.updated_tooltip	Fuel prices updated {minutes} ago
home.profit_30_days	Past 30 Days
home.more	more
home.feature_route_planning_title	Intelligent Route Planning
home.feature_route_planning_desc	Optimize routes in seconds with advanced algorithms that consider distance, traffic, fuel costs, and delivery windows.
home.feature_tracking_title	Real-Time Fleet Tracking
home.feature_tracking_desc	Monitor every vehicle in your fleet with live GPS tracking, geofencing, and instant alerts.
home.feature_dispatch_title	Smart Dispatch
home.feature_dispatch_desc	Assign jobs automatically based on driver availability, truck status, and proximity.
home.feature_ocr_title	OCR Document Processing
home.feature_ocr_desc	Scan and digitize invoices, CMRs, and receipts with AI-powered OCR.
home.feature_analytics_title	Advanced Analytics
home.feature_analytics_desc	Gain actionable insights with dashboards, KPIs, and customizable reports.
home.feature_driver_title	Driver Management
home.feature_driver_desc	Manage driver profiles, licenses, medical certificates, and performance.
home.benefit_cost_title	Reduce Operational Costs
home.benefit_cost_desc	Cut fuel consumption by up to 20%% with optimized routing, reduce idle time, and minimize maintenance costs.
home.benefit_speed_title	Increase Delivery Speed
home.benefit_speed_desc	Complete more deliveries per day with intelligent route optimization and real-time traffic avoidance.
home.benefit_paperwork_title	Eliminate Paperwork
home.benefit_paperwork_desc	Digitize all documents with OCR, automate invoicing, and go fully paperless.
home.benefit_scale_title	Scale With Confidence
home.benefit_scale_desc	From 5 vehicles to 500, our platform grows with your business without missing a beat.
home.testimonial_1	Operion transformed our operations. We cut route planning time by 80%% and fuel costs by 15%% in the first quarter.
home.testimonial_1_author	Mihai Popescu
home.testimonial_1_role	Fleet Manager, TransLogistic
home.testimonial_2	Having real-time visibility into our fleet has been a game-changer. Our customers love the accurate ETAs.
home.testimonial_2_author	Sarah Müller
home.testimonial_2_role	Operations Director, EuroFreight
home.testimonial_3	We scaled from 10 to 50 vehicles without adding a single dispatcher. Operion's automation is incredible.
home.testimonial_3_author	John Smith
home.testimonial_3_role	CEO, Smith Logistics
home.page_title	Operion ERP — Enterprise Logistics, Simplified
home.hero_headline	Enterprise Logistics, Simplified
home.hero_description	Operion ERP gives your fleet the power to plan smarter, dispatch faster, and grow bigger.
home.cta_start_trial	Start Free Trial
home.cta_see_how	See How It Works
home.section_features	Everything you need to run your fleet
home.section_features_desc	Powerful tools that work together to streamline every aspect of your logistics operations.
home.section_benefits	Built for real logistics results
home.section_benefits_desc	Every feature is designed to solve a real problem our customers faced.
home.section_testimonials	Trusted by logistics leaders
home.section_testimonials_desc	See how Operion is helping companies transform their logistics operations.
home.section_mission	Our Mission
home.section_mission_desc	Our mission is to make enterprise logistics software accessible, powerful, and easy to use.
home.section_cta_title	Ready to Transform Your Logistics?
home.section_cta_desc	Join hundreds of companies that trust Operion to run their fleet operations.
home.cta_talk_sales	Talk to Sales
maint.schedule_next_due_km	Next due at {km} km
maint.status_remaining	{km} km remaining
maint.action_maint	Action Maint
maint.action_remind	Action Remind
maint.action_resolve	Action Resolve
maint.action_trip	Action Trip
maint.action_truck	Action Truck
maint.add_record	Add Record
maint.alert_plural	Alert Plural
maint.alert_s	Alert S
maint.cancel	Cancel
maint.close	Close
maint.col_cost	Col Cost
maint.col_date	Col Date
maint.col_km	Col Km
maint.col_notes	Col Notes
maint.col_provider	Col Provider
maint.col_type	Col Type
maint.confirm_delete_msg	Confirm Delete Msg
maint.confirm_delete_title	Confirm Delete Title
maint.critical_count	Critical Count
maint.critical_health	Critical Health
maint.days_left	Days Left
maint.delete	Delete
maint.due_by_date	Due By Date
maint.edit	Edit
maint.error_generic	Error Generic
maint.excellent	Excellent
maint.export	Export
maint.export_success	Export Success
maint.export_title	Export Title
maint.fair	Fair
maint.filter_label	Filter Label
maint.flash_maint_scheduled	Flash Maint Scheduled
maint.flash_reminder	Flash Reminder
maint.flash_trip_copied	Flash Trip Copied
maint.flash_truck_copied	Flash Truck Copied
